Mon 20 Nov 2017 16:17:33 API.py [line:660] INFO start
Mon 20 Nov 2017 16:17:33 API.py [line:692] INFO thread 0 start.
Mon 20 Nov 2017 16:17:33 API.py [line:695] INFO thread 0's token_index 254
Mon 20 Nov 2017 16:17:33 API.py [line:696] INFO {u'access_token': u'719789700999983104-MJCC86XtVDC0LvW7LYsE8UskPAdnvRf', u'consumer_secret': u'LivsS9DTKh4Xmfo2vOG2tpKmrj8lxsYqiDgZLamPBJahFqnjUo', u'consumer_key': u'fO4lXV6LLz5e1Ew6uRDtvXpIQ', u'access_token_secret': u'OQqg76rrDU6qD0TgZETaKO9mVpdbygAwQPxzq0IeBYXHH'}
Mon 20 Nov 2017 16:17:33 API.py [line:697] INFO [u'shooting,china']
Mon 20 Nov 2017 16:17:33 API.py [line:698] INFO ['127.0.0.1:8118']
Mon 20 Nov 2017 16:17:34 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:34 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:39 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:39 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:44 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:44 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:49 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:49 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:54 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:54 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:59 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:17:59 API.py [line:222] WARNING HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
Mon 20 Nov 2017 16:18:04 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Max retries exceeded with url: /1.1/statuses/filter.json (Caused by ProxyError('Cannot connect to proxy.', error(10053, '')))
